Exploitation of vulnerabilities to gain unauthorized access.
Duration: 0.19, SrcBytes: 13304.00, DstBytes: 268.00, SrcTTL: 254.00, DstTTL: 252.00, SLoad: 529100.00, DLoad: 9432.42, SPkts: 18.00, DPkts: 6.00, TCP RTT: 0.06, SYNACK: 0.01, ACKDAT: 0.05 indicates Exploits attack.
Duration: 0.00, SrcBytes: 168.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 134400000.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates  Reconnaissance  attack.
Duration: 0.00, SrcBytes: 168.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 224000000.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates  Reconnaissance  attack.
Duration: 0.00, SrcBytes: 132.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 58666664.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates  Shellcode  attack.
Duration: 0.21, SrcBytes: 536.00, DstBytes: 268.00, SrcTTL: 254.00, DstTTL: 252.00, SLoad: 18210.78, DLoad: 8445.58, SPkts: 10.00, DPkts: 6.00, TCP RTT: 0.06, SYNACK: 0.01, ACKDAT: 0.05 indicates  Shellcode  attack.
Duration: 0.22, SrcBytes: 502.00, DstBytes: 268.00, SrcTTL: 254.00, DstTTL: 252.00, SLoad: 16426.36, DLoad: 8140.50, SPkts: 10.00, DPkts: 6.00, TCP RTT: 0.06, SYNACK: 0.01, ACKDAT: 0.05 indicates  Shellcode  attack.
Duration: 0.18, SrcBytes: 740.00, DstBytes: 268.00, SrcTTL: 254.00, DstTTL: 252.00, SLoad: 29967.60, DLoad: 10079.19, SPkts: 10.00, DPkts: 6.00, TCP RTT: 0.05, SYNACK: 0.01, ACKDAT: 0.05 indicates  Shellcode  attack.
Duration: 0.00, SrcBytes: 1474.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 655111104.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates  Shellcode  attack.
Duration: 1.59, SrcBytes: 2858.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 13615.21, DLoad: 0.00, SPkts: 18.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates Analysis attack.
Duration: 1.14, SrcBytes: 1890.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 12901.54, DLoad: 0.00, SPkts: 42.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates Analysis attack.
Duration: 0.00, SrcBytes: 180.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 239999984.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates Analysis attack.
Duration: 0.00, SrcBytes: 180.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 720000000.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates Analysis attack.
Duration: 0.00, SrcBytes: 180.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 180000000.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates Analysis attack.
Duration: 0.17, SrcBytes: 1308.00, DstBytes: 268.00, SrcTTL: 254.00, DstTTL: 252.00, SLoad: 54001.40, DLoad: 10268.52, SPkts: 10.00, DPkts: 6.00, TCP RTT: 0.03, SYNACK: 0.01, ACKDAT: 0.01 indicates Worms attack.
Duration: 0.00, SrcBytes: 2050.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 1366666624.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates Worms attack.
Duration: 0.24, SrcBytes: 1302.00, DstBytes: 268.00, SrcTTL: 254.00, DstTTL: 252.00, SLoad: 39707.45, DLoad: 7589.14, SPkts: 10.00, DPkts: 6.00, TCP RTT: 0.07, SYNACK: 0.02, ACKDAT: 0.05 indicates Worms attack.
Duration: 0.36, SrcBytes: 8682.00, DstBytes: 268.00, SrcTTL: 254.00, DstTTL: 252.00, SLoad: 180615.53, DLoad: 5018.34, SPkts: 14.00, DPkts: 6.00, TCP RTT: 0.08, SYNACK: 0.03, ACKDAT: 0.05 indicates Worms attack.
Duration: 0.27, SrcBytes: 1022.00, DstBytes: 268.00, SrcTTL: 254.00, DstTTL: 252.00, SLoad: 27516.49, DLoad: 6699.67, SPkts: 10.00, DPkts: 6.00, TCP RTT: 0.07, SYNACK: 0.03, ACKDAT: 0.04 indicates Worms attack.
